respondent_id,trust_scientists,value_new_experiences,value_new_experiences_a,value_help_others,value_help_others_a
1,,1.0,,1.0,
2,,1.0,,4.0,
3,,3.0,,3.0,
4,,3.0,,2.0,
5,,1.0,,2.0,
6,,2.0,,1.0,
7,,1.0,,3.0,
8,,3.0,,2.0,
9,,2.0,,2.0,
10,,4.0,,2.0,
11,,3.0,,1.0,
12,,5.0,,2.0,
13,,3.0,,1.0,
14,,3.0,,2.0,
15,,3.0,,3.0,
16,,1.0,,1.0,
17,,4.0,,2.0,
18,,2.0,,2.0,
19,,5.0,,2.0,
20,,1.0,,1.0,
21,,1.0,,3.0,
22,,6.0,,3.0,
23,,1.0,,2.0,
24,,1.0,,1.0,
25,,5.0,,4.0,
26,,1.0,,1.0,
27,,3.0,,3.0,
28,,5.0,,4.0,
29,,4.0,,2.0,
30,,8.0,,3.0,
31,,3.0,,2.0,
32,,5.0,,2.0,
33,,3.0,,3.0,
34,,2.0,,4.0,
35,,1.0,,3.0,
36,,3.0,,2.0,
37,,1.0,,2.0,
38,,1.0,,3.0,
39,,1.0,,1.0,
40,,1.0,,2.0,
41,,2.0,,3.0,
42,,3.0,,2.0,
43,,3.0,,3.0,
44,,3.0,,2.0,
45,,1.0,,3.0,
46,,2.0,,2.0,
47,,5.0,,2.0,
48,,4.0,,4.0,
49,,2.0,,3.0,
50,,1.0,,2.0,
51,,3.0,,1.0,
52,,6.0,,1.0,
53,,1.0,,4.0,
54,,1.0,,3.0,
55,,1.0,,2.0,
56,,3.0,,3.0,
57,,2.0,,1.0,
58,,1.0,,1.0,
59,,4.0,,2.0,
60,,2.0,,2.0,
61,,2.0,,1.0,
62,,2.0,,3.0,
63,,2.0,,1.0,
64,,2.0,,2.0,
65,,4.0,,8.0,
66,,2.0,,2.0,
67,,2.0,,3.0,
68,,2.0,,2.0,
69,,4.0,,4.0,
70,,1.0,,1.0,
71,,2.0,,2.0,
72,,4.0,,3.0,
73,,1.0,,4.0,
74,,3.0,,3.0,
75,,3.0,,2.0,
76,,3.0,,3.0,
77,,4.0,,3.0,
78,,1.0,,1.0,
79,,2.0,,4.0,
80,,3.0,,2.0,
81,,2.0,,2.0,
82,,1.0,,2.0,
83,,1.0,,2.0,
84,,1.0,,1.0,
85,,5.0,,1.0,
86,,3.0,,4.0,
87,,3.0,,4.0,
88,,4.0,,2.0,
89,,2.0,,2.0,
90,,2.0,,1.0,
91,,1.0,,1.0,
92,,1.0,,1.0,
93,,1.0,,1.0,
94,,1.0,,1.0,
95,,3.0,,1.0,
96,,4.0,,3.0,
97,,2.0,,2.0,
98,,3.0,,2.0,
99,,1.0,,2.0,
100,,2.0,,4.0,
101,,4.0,,2.0,
102,,8.0,,4.0,
103,,3.0,,3.0,
104,,3.0,,3.0,
105,,2.0,,3.0,
106,,4.0,,3.0,
107,,4.0,,3.0,
108,,1.0,,2.0,
109,,1.0,,2.0,
110,,3.0,,2.0,
111,,4.0,,2.0,
112,,2.0,,2.0,
113,,4.0,,1.0,
114,,4.0,,2.0,
115,,1.0,,1.0,
116,,3.0,,2.0,
117,,2.0,,2.0,
118,,4.0,,3.0,
119,,2.0,,4.0,
120,,1.0,,2.0,
121,,4.0,,4.0,
122,,5.0,,1.0,
123,,2.0,,3.0,
124,,1.0,,1.0,
125,,1.0,,2.0,
126,,1.0,,2.0,
127,,3.0,,4.0,
128,,4.0,,4.0,
129,,4.0,,2.0,
130,,2.0,,1.0,
131,,5.0,,3.0,
132,,5.0,,2.0,
133,,2.0,,2.0,
134,,3.0,,3.0,
135,,1.0,,2.0,
136,,4.0,,1.0,
137,,4.0,,3.0,
138,,1.0,,2.0,
139,,1.0,,2.0,
