respondent_id,happiness,health_status
1,5,4
2,10,2
3,7,2
4,10,1
5,9,1
6,8,1
7,8,2
8,8,3
9,10,1
10,9,2
11,7,3
12,10,1
13,8,1
14,8,2
15,7,2
16,10,3
17,7,1
18,8,2
19,9,2
20,8,2
21,8,2
22,7,1
23,8,2
24,10,2
25,8,2
26,8,2
27,9,1
28,7,2
29,8,2
30,4,4
31,6,2
32,10,1
33,8,2
34,8,2
35,5,2
36,9,2
37,8,2
38,9,2
39,10,1
40,9,1
41,7,2
42,9,2
43,7,1
44,10,1
45,10,1
46,10,1
47,10,1
48,4,3
49,10,2
50,5,2
51,8,2
52,10,1
53,9,2
54,10,1
55,4,3
56,4,3
57,7,2
58,9,2
59,8,1
60,10,3
61,10,2
62,8,3
63,8,1
64,7,2
65,10,3
66,7,1
67,8,2
68,9,2
69,8,2
70,9,2
71,8,2
72,8,2
73,4,3
74,7,1
75,8,4
76,9,1
77,8,2
78,8,2
79,3,4
80,8,1
81,9,1
82,9,2
83,9,1
84,7,4
85,10,2
86,3,4
87,7,2
88,7,1
89,8,2
90,5,3
91,8,2
92,0,1
93,9,2
94,7,2
95,10,2
96,8,4
97,10,1
98,7,2
99,9,2
100,9,1
101,9,2
102,6,2
103,10,1
104,10,2
105,9,2
106,8,2
107,8,2
108,9,1
109,9,1
110,10,2
111,7,2
112,9,2
113,8,1
114,8,2
115,9,2
116,9,1
117,10,2
118,9,1
119,9,1
120,8,1
121,9,1
122,7,2
123,10,1
124,8,1
125,8,2
126,8,2
127,7,2
128,8,2
129,10,1
130,8,3
131,7,2
132,9,2
133,6,2
134,5,1
135,2,3
136,9,2
137,8,2
138,8,1
139,9,1
140,9,2
141,10,3
142,7,1
143,8,2
144,10,2
145,8,1
146,4,1
147,7,1
148,9,3
149,4,2
150,8,3
151,9,1
152,9,2
153,7,2
154,10,2
155,9,2
156,9,1
157,10,3
158,6,2
159,8,2
160,8,1
161,8,2
162,7,1
163,8,2
164,8,1
165,4,2
166,5,3
167,5,1
168,8,1
169,7,2
170,8,1
171,6,1
172,7,2
173,6,1
174,8,1
175,8,2
176,8,2
177,7,2
178,7,1
179,9,2
180,8,2
181,7,2
182,8,2
183,10,1
184,10,2
185,8,1
186,8,2
187,9,2
188,7,2
189,8,2
190,8,2
191,10,2
192,9,2
193,4,2
194,10,1
195,9,2
196,10,1
197,6,1
198,8,1
199,10,1
200,7,2
201,7,2
202,10,1
203,8,3
204,9,1
205,9,2
206,9,2
207,10,1
208,7,1
209,7,1
210,10,2
211,7,2
212,9,2
213,8,1
214,10,4
215,8,2
216,8,1
217,8,2
218,9,1
219,6,2
220,9,3
221,10,3
222,9,2
223,3,4
224,9,1
225,8,1
226,8,1
227,8,2
228,8,2
229,6,2
230,8,1
231,8,2
232,5,3
233,7,1
234,8,2
235,10,2
236,7,1
237,7,2
238,7,2
239,9,2
240,8,2
241,8,2
242,8,1
243,9,2
244,7,2
245,8,3
246,8,2
247,7,2
248,8,2
249,5,3
250,88,2
251,8,2
252,5,3
253,8,4
254,8,2
255,8,2
256,5,4
257,9,2
258,9,2
259,8,2
260,9,3
261,7,2
262,7,2
263,10,2
264,7,1
265,9,1
266,9,1
267,10,2
268,8,2
269,8,1
270,7,1
271,10,2
272,8,1
273,5,3
274,9,2
275,7,4
276,9,1
277,8,3
278,8,3
279,9,2
280,8,2
281,9,2
282,8,2
283,7,3
284,10,3
285,8,2
286,10,1
287,8,2
288,7,2
289,10,2
290,10,2
291,10,1
292,8,2
293,6,3
294,8,1
295,9,2
296,9,1
297,9,2
298,9,2
299,10,1
300,10,1
301,8,2
302,8,2
303,8,3
304,8,2
305,8,2
306,9,2
307,6,3
308,7,2
309,8,2
310,10,2
311,9,3
312,9,1
313,10,1
314,5,3
315,10,2
316,7,3
317,8,2
318,10,1
319,5,2
320,8,2
321,10,3
322,9,2
323,9,1
324,10,2
325,9,2
326,9,2
327,8,2
328,9,2
329,9,2
330,10,1
331,5,3
332,8,2
333,9,1
334,5,2
335,8,4
336,10,3
337,5,3
338,5,1
339,8,1
340,8,2
341,8,2
342,7,1
343,10,2
344,8,2
345,10,1
346,9,2
347,8,1
348,10,2
349,5,2
350,9,3
351,9,1
352,7,1
353,7,2
354,8,2
355,8,4
356,10,2
357,9,2
358,10,2
359,8,1
360,88,2
361,8,2
362,8,1
363,9,1
364,8,2
365,8,1
366,8,2
367,10,2
368,7,2
369,8,2
370,10,2
371,7,3
372,6,2
373,9,2
374,6,2
375,5,3
376,8,2
377,8,3
378,8,1
379,8,2
380,5,3
381,8,1
382,10,2
383,8,4
384,7,2
385,7,2
386,7,3
387,5,2
388,8,1
389,9,2
390,9,1
391,8,3
392,9,1
393,9,1
394,8,1
395,8,1
396,8,1
397,9,1
398,8,2
399,8,1
400,6,1
401,10,2
402,7,2
403,8,4
404,6,2
405,7,2
406,7,3
407,7,2
408,6,1
409,9,2
410,9,1
411,9,1
412,8,2
413,8,4
414,8,2
415,7,2
416,7,3
417,8,2
418,7,3
419,6,2
420,6,2
421,8,1
422,8,2
423,8,2
424,3,2
425,7,2
426,8,2
427,8,2
428,7,2
429,8,2
430,2,4
431,8,1
432,10,2
433,10,2
434,8,2
435,7,3
436,88,2
437,8,1
438,7,3
439,4,3
440,10,2
441,8,3
442,10,3
443,9,2
444,10,3
445,10,2
446,8,3
447,9,1
448,8,2
449,9,2
450,9,2
451,10,1
452,10,2
453,8,2
454,9,2
455,10,2
456,7,2
457,8,2
458,8,1
459,7,3
460,10,3
461,7,2
462,5,3
463,7,3
464,10,2
465,8,2
466,9,2
467,9,2
468,8,2
469,9,3
470,9,1
471,6,3
472,7,3
473,8,2
474,7,3
475,5,1
476,7,2
477,10,1
478,7,2
479,9,2
480,8,4
481,9,1
482,0,3
483,8,3
484,10,2
485,8,2
486,9,2
487,8,4
488,10,1
489,8,3
490,8,3
491,8,1
492,6,3
493,5,3
494,9,3
495,7,1
496,8,2
497,10,1
498,9,1
499,5,3
500,6,2
501,9,2
502,9,1
503,6,3
504,4,3
505,8,3
506,8,1
507,10,1
508,5,3
509,9,1
510,8,2
511,9,2
512,9,3
513,10,1
514,8,1
515,3,2
516,8,3
517,8,1
518,7,1
519,8,2
520,6,2
521,9,3
522,8,2
523,6,2
524,8,1
525,8,2
526,9,2
527,5,2
528,10,2
529,8,1
530,6,2
531,8,2
532,8,2
533,8,1
534,5,2
535,6,2
536,10,1
537,8,2
538,8,3
539,9,2
540,10,2
541,8,2
542,5,3
543,9,2
544,6,1
545,9,1
546,8,1
547,10,1
548,7,2
549,8,4
550,9,2
551,4,2
552,10,2
553,7,1
554,5,2
555,5,4
556,8,2
557,4,2
558,10,2
559,8,4
560,8,2
561,3,2
562,8,2
563,5,3
564,9,2
565,8,2
566,7,3
567,7,1
568,7,3
569,9,1
570,8,2
571,7,2
572,9,1
573,10,1
574,9,2
575,6,2
576,9,1
577,8,2
578,9,1
579,8,1
580,9,2
581,10,1
582,10,1
583,8,1
584,8,1
585,8,3
586,10,3
587,10,1
588,8,1
589,8,2
590,9,3
591,9,1
592,8,2
593,7,2
594,7,2
595,10,1
596,10,2
597,9,3
598,9,2
599,9,1
600,9,1
601,8,2
602,9,2
603,9,2
604,10,1
605,7,3
606,7,2
607,9,2
608,7,2
609,6,2
610,10,1
611,9,1
612,7,2
613,9,1
614,8,1
615,8,2
616,9,4
617,8,2
618,8,1
619,6,2
620,9,2
621,9,1
622,8,1
623,8,2
624,9,2
625,8,1
626,7,1
627,8,2
628,9,2
629,8,1
630,7,2
631,8,1
632,8,2
633,5,2
634,8,1
635,7,1
636,9,2
637,7,2
638,8,3
639,10,1
640,7,1
641,8,2
642,8,2
643,10,2
644,8,3
645,8,1
646,8,1
647,7,3
648,9,2
649,10,1
650,8,3
651,7,2
652,9,8
653,9,2
654,8,1
655,9,1
656,9,1
657,9,2
658,8,2
659,8,1
660,9,2
661,8,1
662,7,2
663,7,3
664,7,1
665,7,2
666,8,1
667,8,2
668,9,1
669,9,1
670,10,1
671,8,2
672,7,2
673,8,2
674,9,2
675,8,2
676,9,1
677,7,2
678,8,2
679,6,3
680,8,2
681,8,2
682,8,2
683,10,1
684,8,1
685,7,2
686,9,4
687,8,2
688,7,3
689,10,1
690,7,1
691,5,3
692,9,1
693,8,2
694,6,1
695,10,1
696,10,1
697,9,1
698,8,2
699,8,1
700,10,1
701,10,2
702,10,1
703,10,1
704,10,1
705,9,2
706,9,2
707,7,2
708,10,1
709,9,2
710,8,3
711,10,2
712,6,2
713,6,1
714,8,1
715,7,2
716,10,2
717,9,1
718,8,1
719,10,2
720,10,2
721,8,2
722,5,2
723,10,1
724,9,1
725,7,2
726,8,1
727,7,2
728,10,2
729,10,1
730,10,2
731,5,3
732,8,1
733,9,1
734,7,2
735,8,3
736,10,2
737,7,2
738,10,1
739,7,2
740,8,1
741,7,1
742,5,2
743,9,3
744,7,2
745,9,2
746,5,3
747,6,2
748,5,2
749,10,2
750,8,1
751,7,3
752,8,4
753,10,3
754,8,2
755,8,2
756,8,2
757,4,2
758,9,2
759,7,3
760,8,2
761,9,2
762,7,2
763,7,1
764,9,2
765,9,2
766,8,2
767,8,2
768,10,2
769,8,1
770,8,2
771,7,3
772,8,2
773,8,2
774,10,1
775,8,3
776,8,4
777,8,2
778,9,2
779,8,2
780,10,2
781,9,2
782,7,1
783,7,3
784,8,2
785,10,2
786,10,3
787,9,2
788,10,2
789,7,3
790,5,3
791,9,2
792,10,2
793,6,2
794,9,2
795,9,2
796,8,2
797,2,5
798,7,2
799,10,2
800,9,2
801,8,1
802,9,2
803,9,2
804,9,1
805,8,2
806,7,1
807,8,3
808,8,2
809,8,2
810,8,1
811,7,2
812,8,2
813,9,1
814,7,2
815,6,3
816,10,1
817,9,2
818,8,2
819,5,2
820,10,1
821,7,2
822,7,2
823,9,3
824,8,1
825,8,3
826,8,2
827,6,3
828,9,2
829,8,2
830,8,3
831,8,2
832,9,1
833,10,1
834,10,2
835,7,1
836,9,1
837,7,1
838,8,2
839,8,1
840,9,1
841,8,2
842,8,3
843,8,2
844,10,2
845,5,1
846,9,2
847,8,3
848,10,2
849,8,3
850,8,2
851,7,1
852,10,2
853,8,3
854,8,2
855,8,2
856,9,2
857,0,1
858,8,2
859,8,3
860,9,2
861,4,2
862,9,2
863,9,5
864,10,2
865,8,1
866,10,1
867,7,2
868,7,2
869,9,2
870,9,2
871,8,3
872,8,2
873,8,2
874,8,2
875,7,3
876,10,1
877,5,5
878,8,2
879,10,2
880,10,2
881,7,3
882,9,2
883,5,2
884,7,2
885,8,1
886,8,1
887,8,2
888,8,1
889,9,2
890,7,4
891,7,1
892,9,2
893,6,1
894,7,1
895,9,3
896,9,1
897,7,2
898,7,1
899,9,1
900,10,2
901,8,2
902,8,1
903,8,2
904,9,1
905,8,2
906,9,2
907,8,1
908,7,2
909,8,2
910,8,3
911,7,3
912,9,2
913,9,2
914,9,2
915,8,1
916,9,1
917,9,2
918,10,1
919,8,3
920,9,1
921,8,2
922,8,2
923,9,3
924,8,2
925,8,2
926,8,1
927,8,2
928,8,1
929,7,1
930,8,2
931,8,1
932,9,2
933,5,3
934,10,1
935,6,2
936,8,2
937,9,2
938,8,1
939,10,1
940,8,2
941,10,1
942,8,2
943,8,2
944,8,1
945,7,2
946,9,2
947,7,2
948,7,3
949,10,2
950,9,2
951,10,2
952,9,2
953,9,1
954,9,2
955,8,2
956,9,1
957,8,3
958,10,1
959,8,1
960,9,2
961,9,1
962,8,2
963,9,1
964,7,2
965,4,1
966,7,1
967,9,2
968,8,1
969,8,1
970,8,1
971,7,2
972,8,1
973,9,2
974,8,2
975,9,1
976,8,2
977,8,2
978,8,2
979,7,2
980,8,2
981,8,2
982,9,2
983,9,2
984,7,1
985,8,2
986,9,2
987,7,2
988,9,2
989,8,3
990,8,2
991,9,1
992,8,2
993,6,3
994,9,2
995,5,2
996,6,2
997,2,1
998,9,2
999,8,3
1000,9,2
1001,7,3
1002,10,1
1003,8,1
1004,5,3
1005,8,2
1006,8,1
1007,9,2
1008,7,1
1009,8,3
1010,10,2
1011,8,2
1012,10,2
1013,8,1
1014,7,2
1015,7,2
1016,9,1
1017,5,3
1018,7,2
1019,6,3
1020,10,2
1021,6,3
1022,8,2
1023,6,2
1024,3,3
1025,8,1
1026,7,2
1027,8,2
1028,9,1
1029,9,1
1030,5,2
1031,9,2
1032,9,1
1033,8,1
1034,8,1
1035,9,1
1036,9,2
1037,9,2
1038,10,1
1039,10,1
1040,5,2
1041,7,1
1042,8,1
1043,7,2
1044,9,3
1045,9,2
1046,7,3
1047,9,2
1048,8,2
1049,7,2
1050,9,2
1051,6,2
1052,5,4
1053,8,1
1054,10,1
1055,8,2
1056,8,2
1057,9,1
1058,5,3
1059,10,3
1060,8,2
1061,9,2
1062,7,4
1063,8,1
1064,9,3
1065,5,5
1066,9,1
1067,8,1
1068,9,1
1069,7,2
1070,7,1
1071,9,2
1072,8,1
1073,9,1
1074,9,2
1075,5,3
1076,9,3
1077,9,2
1078,10,1
1079,7,2
1080,9,1
1081,9,2
1082,9,2
1083,5,1
1084,8,2
1085,8,4
