respondent_id,religiosity,social_activities,social_meetings,discuss_matters
1,10,3,6,1.0
2,9,1,7,1.0
3,8,4,6,1.0
4,0,3,7,1.0
5,0,3,7,1.0
6,6,4,6,1.0
7,0,3,4,1.0
8,9,3,5,1.0
9,10,2,4,1.0
10,9,1,6,1.0
11,10,1,5,1.0
12,7,2,7,1.0
13,9,5,6,1.0
14,6,4,7,1.0
15,4,3,6,1.0
16,4,3,7,1.0
17,8,5,7,1.0
18,7,4,6,1.0
19,6,3,6,1.0
20,5,4,7,1.0
21,0,1,6,1.0
22,5,2,6,1.0
23,5,3,6,1.0
24,9,5,6,2.0
25,5,1,6,1.0
26,10,5,6,1.0
27,3,3,6,1.0
28,5,2,2,1.0
29,5,2,5,1.0
30,0,1,2,2.0
31,3,2,5,1.0
32,10,4,6,1.0
33,8,3,6,1.0
34,2,2,5,1.0
35,2,2,6,1.0
36,88,3,7,1.0
37,7,4,6,1.0
38,9,8,3,1.0
39,10,4,5,2.0
40,7,3,4,1.0
41,10,3,4,1.0
42,0,4,7,1.0
43,6,3,4,1.0
44,9,5,7,1.0
45,0,5,7,1.0
46,0,3,7,1.0
47,6,2,6,1.0
48,5,1,3,1.0
49,7,2,7,1.0
50,5,3,7,1.0
51,10,3,4,1.0
52,0,1,5,2.0
53,6,3,6,1.0
54,8,1,5,1.0
55,0,1,5,2.0
56,2,4,6,2.0
57,10,2,6,1.0
58,8,3,4,1.0
59,10,4,7,1.0
60,10,3,7,1.0
61,10,8,5,1.0
62,0,1,5,2.0
63,10,4,6,1.0
64,2,8,7,1.0
65,10,2,6,1.0
66,4,1,6,1.0
67,10,3,5,1.0
68,6,1,6,1.0
69,1,2,4,1.0
70,8,2,6,1.0
71,0,5,6,1.0
72,3,1,6,1.0
73,3,1,7,1.0
74,4,4,5,1.0
75,8,1,5,2.0
76,0,3,6,1.0
77,7,2,5,1.0
78,5,2,7,1.0
79,9,1,6,1.0
80,5,2,7,1.0
81,8,3,5,1.0
82,2,3,7,1.0
83,6,5,6,1.0
84,8,8,6,1.0
85,10,2,5,2.0
86,9,3,6,1.0
87,8,2,4,1.0
88,1,4,6,1.0
89,10,4,6,1.0
90,3,8,7,2.0
91,8,3,6,1.0
92,0,1,1,1.0
93,9,3,6,1.0
94,10,4,4,1.0
95,10,3,4,1.0
96,8,4,4,1.0
97,10,3,6,1.0
98,4,2,5,1.0
99,5,3,6,1.0
100,8,2,5,1.0
101,10,4,5,1.0
102,7,8,5,1.0
103,3,2,5,1.0
104,8,1,6,1.0
105,8,3,6,1.0
106,2,1,3,2.0
107,8,2,4,1.0
108,10,4,6,1.0
109,5,4,6,1.0
110,2,1,4,1.0
111,8,1,2,1.0
112,8,4,7,1.0
113,6,3,7,1.0
114,8,3,5,1.0
115,3,4,5,1.0
116,10,3,6,1.0
117,3,5,7,1.0
118,9,2,6,1.0
119,5,3,6,1.0
120,8,3,6,1.0
121,9,2,6,1.0
122,10,2,4,1.0
123,0,4,6,1.0
124,8,2,5,1.0
125,3,4,5,1.0
126,5,8,4,1.0
127,6,2,3,1.0
128,10,4,6,1.0
129,8,2,4,1.0
130,4,2,6,2.0
131,8,1,3,2.0
132,9,5,6,1.0
133,4,3,4,1.0
134,2,3,7,1.0
135,0,3,6,1.0
136,6,3,6,1.0
137,5,3,4,1.0
138,7,3,4,1.0
139,9,2,5,1.0
140,8,3,6,1.0
141,9,3,6,1.0
142,7,3,4,1.0
143,7,4,7,1.0
144,0,1,6,1.0
145,10,4,4,1.0
146,9,2,3,2.0
147,7,4,2,1.0
148,10,2,5,1.0
149,1,2,2,1.0
150,8,1,5,1.0
151,4,2,4,1.0
152,8,3,7,1.0
153,5,2,4,1.0
154,10,2,6,1.0
155,6,2,5,2.0
156,10,4,6,1.0
157,8,2,7,1.0
158,8,3,6,1.0
159,10,4,4,1.0
160,6,3,6,1.0
161,10,4,5,1.0
162,3,4,4,1.0
163,10,3,6,1.0
164,8,4,7,1.0
165,7,2,3,1.0
166,8,5,7,1.0
167,4,2,7,1.0
168,4,4,6,1.0
169,0,4,7,1.0
170,8,2,5,1.0
171,8,2,5,1.0
172,1,3,4,1.0
173,1,3,6,1.0
174,5,2,5,2.0
175,6,3,5,1.0
176,6,3,6,1.0
177,7,3,5,1.0
178,3,4,5,1.0
179,8,3,7,1.0
180,4,2,5,1.0
181,2,3,6,1.0
182,8,3,6,1.0
183,2,2,6,1.0
184,5,4,4,1.0
185,8,5,5,1.0
186,5,4,4,1.0
187,5,3,6,1.0
188,6,3,6,1.0
