respondent_id,dataset_title,interview_length,interview_year
1,ESS1e06_7,37.0,2002.0
2,ESS1e06_7,133.0,2002.0
3,ESS1e06_7,51.0,2002.0
4,ESS1e06_7,50.0,2002.0
5,ESS1e06_7,62.0,2002.0
6,ESS1e06_7,73.0,2002.0
7,ESS1e06_7,53.0,2003.0
8,ESS1e06_7,55.0,2002.0
9,ESS1e06_7,50.0,2002.0
10,ESS1e06_7,49.0,2002.0
11,ESS1e06_7,55.0,2002.0
12,ESS1e06_7,143.0,2002.0
13,ESS1e06_7,132.0,2002.0
14,ESS1e06_7,42.0,2002.0
15,ESS1e06_7,61.0,2002.0
16,ESS1e06_7,75.0,2002.0
17,ESS1e06_7,46.0,2003.0
18,ESS1e06_7,86.0,2002.0
19,ESS1e06_7,46.0,2002.0
20,ESS1e06_7,84.0,2002.0
21,ESS1e06_7,78.0,2002.0
22,ESS1e06_7,101.0,2002.0
23,ESS1e06_7,44.0,2002.0
24,ESS1e06_7,161.0,2002.0
25,ESS1e06_7,143.0,2002.0
26,ESS1e06_7,47.0,2002.0
27,ESS1e06_7,101.0,2002.0
28,ESS1e06_7,42.0,2002.0
29,ESS1e06_7,41.0,2002.0
30,ESS1e06_7,61.0,2002.0
31,ESS1e06_7,86.0,2002.0
32,ESS1e06_7,126.0,2002.0
33,ESS1e06_7,89.0,2002.0
34,ESS1e06_7,63.0,2002.0
35,ESS1e06_7,58.0,2002.0
36,ESS1e06_7,66.0,2002.0
37,ESS1e06_7,63.0,2002.0
38,ESS1e06_7,127.0,2002.0
39,ESS1e06_7,112.0,2002.0
40,ESS1e06_7,45.0,2002.0
41,ESS1e06_7,61.0,2002.0
42,ESS1e06_7,44.0,2002.0
43,ESS1e06_7,50.0,2002.0
44,ESS1e06_7,110.0,2002.0
45,ESS1e06_7,59.0,2002.0
46,ESS1e06_7,91.0,2002.0
47,ESS1e06_7,77.0,2002.0
48,ESS1e06_7,117.0,2002.0
49,ESS1e06_7,78.0,2002.0
50,ESS1e06_7,57.0,2002.0
51,ESS1e06_7,115.0,2002.0
52,ESS1e06_7,49.0,2002.0
53,ESS1e06_7,78.0,2002.0
54,ESS1e06_7,52.0,2002.0
55,ESS1e06_7,59.0,2002.0
56,ESS1e06_7,95.0,2002.0
57,ESS1e06_7,115.0,2002.0
58,ESS1e06_7,100.0,2002.0
59,ESS1e06_7,109.0,2002.0
60,ESS1e06_7,83.0,2002.0
61,ESS1e06_7,51.0,2003.0
62,ESS1e06_7,51.0,2002.0
63,ESS1e06_7,61.0,2002.0
64,ESS1e06_7,50.0,2002.0
65,ESS1e06_7,68.0,2002.0
66,ESS1e06_7,38.0,2003.0
67,ESS1e06_7,48.0,2002.0
68,ESS1e06_7,62.0,2003.0
69,ESS1e06_7,82.0,2002.0
70,ESS1e06_7,45.0,2002.0
71,ESS1e06_7,47.0,2002.0
72,ESS1e06_7,74.0,2002.0
73,ESS1e06_7,72.0,2002.0
74,ESS1e06_7,49.0,2002.0
75,ESS1e06_7,132.0,2002.0
76,ESS1e06_7,46.0,2002.0
77,ESS1e06_7,48.0,2002.0
78,ESS1e06_7,97.0,2002.0
79,ESS1e06_7,63.0,2002.0
80,ESS1e06_7,96.0,2002.0
81,ESS1e06_7,77.0,2002.0
82,ESS1e06_7,108.0,2002.0
83,ESS1e06_7,89.0,2002.0
84,ESS1e06_7,79.0,2002.0
85,ESS1e06_7,93.0,2002.0
86,ESS1e06_7,60.0,2002.0
87,ESS1e06_7,98.0,2002.0
88,ESS1e06_7,63.0,2002.0
89,ESS1e06_7,64.0,2002.0
90,ESS1e06_7,79.0,2002.0
91,ESS1e06_7,75.0,2002.0
92,ESS1e06_7,19.0,2002.0
93,ESS1e06_7,77.0,2002.0
94,ESS1e06_7,80.0,2002.0
95,ESS1e06_7,30.0,2002.0
96,ESS1e06_7,67.0,2002.0
97,ESS1e06_7,61.0,2002.0
98,ESS1e06_7,50.0,2002.0
99,ESS1e06_7,66.0,2002.0
100,ESS1e06_7,51.0,2002.0
101,ESS1e06_7,123.0,2002.0
102,ESS1e06_7,68.0,2002.0
103,ESS1e06_7,42.0,2002.0
104,ESS1e06_7,60.0,2002.0
105,ESS1e06_7,84.0,2002.0
106,ESS1e06_7,62.0,2002.0
107,ESS1e06_7,66.0,2002.0
108,ESS1e06_7,48.0,2002.0
109,ESS1e06_7,43.0,2002.0
110,ESS1e06_7,72.0,2002.0
111,ESS1e06_7,52.0,2002.0
112,ESS1e06_7,58.0,2002.0
113,ESS1e06_7,42.0,2002.0
114,ESS1e06_7,75.0,2003.0
115,ESS1e06_7,44.0,2002.0
116,ESS1e06_7,72.0,2002.0
117,ESS1e06_7,52.0,2002.0
118,ESS1e06_7,60.0,2002.0
119,ESS1e06_7,50.0,2002.0
120,ESS1e06_7,90.0,2002.0
121,ESS1e06_7,50.0,2002.0
122,ESS1e06_7,67.0,2002.0
123,ESS1e06_7,59.0,2002.0
124,ESS1e06_7,75.0,2002.0
125,ESS1e06_7,64.0,2002.0
126,ESS1e06_7,51.0,2002.0
127,ESS1e06_7,55.0,2002.0
128,ESS1e06_7,50.0,2002.0
129,ESS1e06_7,75.0,2003.0
130,ESS1e06_7,97.0,2002.0
131,ESS1e06_7,39.0,2002.0
132,ESS1e06_7,41.0,2002.0
133,ESS1e06_7,45.0,2002.0
134,ESS1e06_7,57.0,2002.0
135,ESS1e06_7,78.0,2002.0
136,ESS1e06_7,72.0,2002.0
137,ESS1e06_7,100.0,2002.0
138,ESS1e06_7,62.0,2002.0
139,ESS1e06_7,105.0,2002.0
140,ESS1e06_7,62.0,2002.0
141,ESS1e06_7,63.0,2002.0
142,ESS1e06_7,52.0,2002.0
143,ESS1e06_7,88.0,2002.0
144,ESS1e06_7,71.0,2002.0
145,ESS1e06_7,70.0,2002.0
146,ESS1e06_7,37.0,2002.0
147,ESS1e06_7,50.0,2002.0
148,ESS1e06_7,60.0,2002.0
149,ESS1e06_7,65.0,2002.0
150,ESS1e06_7,53.0,2002.0
151,ESS1e06_7,80.0,2002.0
152,ESS1e06_7,46.0,2002.0
153,ESS1e06_7,84.0,2002.0
154,ESS1e06_7,87.0,2002.0
155,ESS1e06_7,72.0,2002.0
156,ESS1e06_7,86.0,2002.0
157,ESS1e06_7,117.0,2002.0
158,ESS1e06_7,47.0,2002.0
159,ESS1e06_7,79.0,2002.0
160,ESS1e06_7,47.0,2002.0
161,ESS1e06_7,51.0,2002.0
162,ESS1e06_7,75.0,2002.0
163,ESS1e06_7,67.0,2002.0
164,ESS1e06_7,55.0,2002.0
165,ESS1e06_7,54.0,2002.0
166,ESS1e06_7,69.0,2002.0
167,ESS1e06_7,57.0,2002.0
168,ESS1e06_7,40.0,2002.0
169,ESS1e06_7,47.0,2002.0
170,ESS1e06_7,59.0,2002.0
171,ESS1e06_7,79.0,2002.0
172,ESS1e06_7,65.0,2002.0
173,ESS1e06_7,62.0,2002.0
174,ESS1e06_7,61.0,2002.0
175,ESS1e06_7,60.0,2002.0
176,ESS1e06_7,52.0,2002.0
177,ESS1e06_7,88.0,2002.0
178,ESS1e06_7,46.0,2003.0
179,ESS1e06_7,41.0,2002.0
180,ESS1e06_7,54.0,2002.0
181,ESS1e06_7,50.0,2002.0
182,ESS1e06_7,86.0,2002.0
183,ESS1e06_7,45.0,2002.0
184,ESS1e06_7,79.0,2002.0
185,ESS1e06_7,57.0,2002.0
186,ESS1e06_7,11.0,2002.0
187,ESS1e06_7,65.0,2002.0
188,ESS1e06_7,50.0,2002.0
189,ESS1e06_7,84.0,2002.0
190,ESS1e06_7,95.0,2002.0
191,ESS1e06_7,81.0,2002.0
192,ESS1e06_7,53.0,2002.0
193,ESS1e06_7,58.0,2002.0
194,ESS1e06_7,60.0,2002.0
195,ESS1e06_7,49.0,2002.0
196,ESS1e06_7,55.0,2002.0
197,ESS1e06_7,84.0,2002.0
198,ESS1e06_7,56.0,2002.0
199,ESS1e06_7,67.0,2002.0
200,ESS1e06_7,65.0,2002.0
201,ESS1e06_7,50.0,2002.0
202,ESS1e06_7,43.0,2002.0
203,ESS1e06_7,57.0,2002.0
204,ESS1e06_7,35.0,2002.0
205,ESS1e06_7,63.0,2002.0
206,ESS1e06_7,61.0,2002.0
207,ESS1e06_7,48.0,2002.0
208,ESS1e06_7,66.0,2002.0
209,ESS1e06_7,48.0,2002.0
210,ESS1e06_7,105.0,2002.0
211,ESS1e06_7,68.0,2002.0
212,ESS1e06_7,62.0,2002.0
213,ESS1e06_7,59.0,2002.0
214,ESS1e06_7,78.0,2002.0
215,ESS1e06_7,77.0,2002.0
216,ESS1e06_7,45.0,2002.0
217,ESS1e06_7,35.0,2002.0
218,ESS1e06_7,54.0,2002.0
219,ESS1e06_7,57.0,2002.0
220,ESS1e06_7,93.0,2002.0
221,ESS1e06_7,77.0,2002.0
222,ESS1e06_7,62.0,2002.0
223,ESS1e06_7,83.0,2002.0
224,ESS1e06_7,68.0,2002.0
225,ESS1e06_7,39.0,2002.0
226,ESS1e06_7,80.0,2002.0
227,ESS1e06_7,91.0,2002.0
228,ESS1e06_7,70.0,2002.0
229,ESS1e06_7,55.0,2002.0
230,ESS1e06_7,77.0,2002.0
231,ESS1e06_7,61.0,2002.0
232,ESS1e06_7,24.0,2002.0
233,ESS1e06_7,58.0,2002.0
234,ESS1e06_7,91.0,2002.0
235,ESS1e06_7,46.0,2002.0
236,ESS1e06_7,52.0,2002.0
237,ESS1e06_7,59.0,2002.0
238,ESS1e06_7,47.0,2002.0
239,ESS1e06_7,59.0,2002.0
240,ESS1e06_7,70.0,2002.0
241,ESS1e06_7,43.0,2002.0
242,ESS1e06_7,65.0,2002.0
243,ESS1e06_7,62.0,2002.0
244,ESS1e06_7,124.0,2002.0
245,ESS1e06_7,46.0,2002.0
246,ESS1e06_7,67.0,2002.0
247,ESS1e06_7,52.0,2002.0
248,ESS1e06_7,61.0,2002.0
249,ESS1e06_7,63.0,2002.0
250,ESS1e06_7,77.0,2002.0
251,ESS1e06_7,72.0,2003.0
252,ESS1e06_7,60.0,2002.0
253,ESS1e06_7,72.0,2002.0
254,ESS1e06_7,73.0,2002.0
255,ESS1e06_7,81.0,2002.0
256,ESS1e06_7,58.0,2002.0
257,ESS1e06_7,66.0,2002.0
258,ESS1e06_7,75.0,2002.0
259,ESS1e06_7,50.0,2002.0
260,ESS1e06_7,56.0,2002.0
261,ESS1e06_7,57.0,2002.0
262,ESS1e06_7,54.0,2002.0
263,ESS1e06_7,78.0,2002.0
264,ESS1e06_7,69.0,2002.0
265,ESS1e06_7,97.0,2002.0
266,ESS1e06_7,56.0,2002.0
267,ESS1e06_7,59.0,2002.0
268,ESS1e06_7,64.0,2002.0
269,ESS1e06_7,63.0,2002.0
270,ESS1e06_7,64.0,2002.0
271,ESS1e06_7,57.0,2002.0
272,ESS1e06_7,65.0,2002.0
273,ESS1e06_7,74.0,2002.0
274,ESS1e06_7,53.0,2002.0
275,ESS1e06_7,57.0,2002.0
276,ESS1e06_7,53.0,2002.0
277,ESS1e06_7,55.0,2002.0
278,ESS1e06_7,41.0,2002.0
279,ESS1e06_7,65.0,2002.0
280,ESS1e06_7,29.0,2002.0
281,ESS1e06_7,52.0,2002.0
282,ESS1e06_7,53.0,2002.0
283,ESS1e06_7,72.0,2002.0
284,ESS1e06_7,53.0,2002.0
285,ESS1e06_7,97.0,2002.0
286,ESS1e06_7,67.0,2002.0
287,ESS1e06_7,48.0,2002.0
288,ESS1e06_7,58.0,2002.0
289,ESS1e06_7,55.0,2002.0
290,ESS1e06_7,88.0,2002.0
291,ESS1e06_7,70.0,2002.0
292,ESS1e06_7,76.0,2002.0
293,ESS1e06_7,50.0,2002.0
294,ESS1e06_7,35.0,2002.0
295,ESS1e06_7,70.0,2002.0
296,ESS1e06_7,58.0,2002.0
297,ESS1e06_7,51.0,2002.0
298,ESS1e06_7,42.0,2002.0
299,ESS1e06_7,51.0,2002.0
300,ESS1e06_7,70.0,2002.0
301,ESS1e06_7,102.0,2002.0
302,ESS1e06_7,51.0,2002.0
303,ESS1e06_7,67.0,2002.0
304,ESS1e06_7,54.0,2002.0
305,ESS1e06_7,34.0,2002.0
306,ESS1e06_7,35.0,2002.0
307,ESS1e06_7,34.0,2002.0
308,ESS1e06_7,54.0,2002.0
309,ESS1e06_7,43.0,2002.0
310,ESS1e06_7,61.0,2002.0
311,ESS1e06_7,41.0,2002.0
312,ESS1e06_7,51.0,2002.0
313,ESS1e06_7,74.0,2002.0
314,ESS1e06_7,56.0,2002.0
315,ESS1e06_7,51.0,2002.0
316,ESS1e06_7,69.0,2002.0
317,ESS1e06_7,35.0,2002.0
318,ESS1e06_7,43.0,2002.0
319,ESS1e06_7,45.0,2002.0
320,ESS1e06_7,54.0,2002.0
321,ESS1e06_7,77.0,2002.0
322,ESS1e06_7,66.0,2002.0
323,ESS1e06_7,52.0,2002.0
324,ESS1e06_7,45.0,2002.0
325,ESS1e06_7,60.0,2002.0
326,ESS1e06_7,59.0,2002.0
327,ESS1e06_7,51.0,2002.0
328,ESS1e06_7,60.0,2002.0
329,ESS1e06_7,48.0,2002.0
330,ESS1e06_7,47.0,2002.0
331,ESS1e06_7,53.0,2002.0
332,ESS1e06_7,54.0,2002.0
333,ESS1e06_7,47.0,2002.0
334,ESS1e06_7,54.0,2002.0
335,ESS1e06_7,42.0,2002.0
336,ESS1e06_7,51.0,2002.0
337,ESS1e06_7,49.0,2002.0
338,ESS1e06_7,52.0,2002.0
339,ESS1e06_7,49.0,2002.0
340,ESS1e06_7,61.0,2002.0
341,ESS1e06_7,49.0,2002.0
342,ESS1e06_7,162.0,2002.0
343,ESS1e06_7,53.0,2002.0
344,ESS1e06_7,68.0,2002.0
345,ESS1e06_7,60.0,2002.0
346,ESS1e06_7,49.0,2002.0
347,ESS1e06_7,54.0,2002.0
348,ESS1e06_7,74.0,2002.0
349,ESS1e06_7,40.0,2002.0
350,ESS1e06_7,69.0,2002.0
351,ESS1e06_7,59.0,2002.0
352,ESS1e06_7,36.0,2002.0
353,ESS1e06_7,60.0,2002.0
354,ESS1e06_7,65.0,2002.0
355,ESS1e06_7,120.0,2002.0
356,ESS1e06_7,63.0,2002.0
357,ESS1e06_7,61.0,2002.0
358,ESS1e06_7,59.0,2002.0
359,ESS1e06_7,57.0,2002.0
360,ESS1e06_7,69.0,2002.0
361,ESS1e06_7,47.0,2002.0
362,ESS1e06_7,74.0,2002.0
363,ESS1e06_7,58.0,2003.0
364,ESS1e06_7,42.0,2002.0
365,ESS1e06_7,55.0,2002.0
366,ESS1e06_7,59.0,2002.0
367,ESS1e06_7,40.0,2002.0
368,ESS1e06_7,51.0,2002.0
369,ESS1e06_7,57.0,2002.0
370,ESS1e06_7,62.0,2002.0
371,ESS1e06_7,48.0,2002.0
372,ESS1e06_7,54.0,2002.0
373,ESS1e06_7,61.0,2002.0
374,ESS1e06_7,41.0,2002.0
375,ESS1e06_7,49.0,2002.0
376,ESS1e06_7,47.0,2002.0
377,ESS1e06_7,67.0,2002.0
378,ESS1e06_7,89.0,2002.0
379,ESS1e06_7,42.0,2002.0
380,ESS1e06_7,23.0,2002.0
381,ESS1e06_7,63.0,2002.0
382,ESS1e06_7,69.0,2002.0
383,ESS1e06_7,48.0,2002.0
384,ESS1e06_7,60.0,2002.0
385,ESS1e06_7,50.0,2002.0
386,ESS1e06_7,43.0,2002.0
387,ESS1e06_7,102.0,2002.0
388,ESS1e06_7,34.0,2002.0
389,ESS1e06_7,54.0,2002.0
390,ESS1e06_7,72.0,2002.0
391,ESS1e06_7,54.0,2002.0
392,ESS1e06_7,43.0,2002.0
393,ESS1e06_7,53.0,2002.0
394,ESS1e06_7,73.0,2002.0
395,ESS1e06_7,57.0,2002.0
396,ESS1e06_7,48.0,2002.0
397,ESS1e06_7,65.0,2002.0
398,ESS1e06_7,55.0,2002.0
399,ESS1e06_7,51.0,2002.0
400,ESS1e06_7,34.0,2002.0
401,ESS1e06_7,61.0,2002.0
402,ESS1e06_7,35.0,2002.0
403,ESS1e06_7,32.0,2002.0
404,ESS1e06_7,95.0,2002.0
405,ESS1e06_7,60.0,2002.0
406,ESS1e06_7,38.0,2003.0
407,ESS1e06_7,50.0,2002.0
408,ESS1e06_7,80.0,2002.0
409,ESS1e06_7,81.0,2002.0
410,ESS1e06_7,65.0,2002.0
411,ESS1e06_7,61.0,2002.0
412,ESS1e06_7,67.0,2002.0
413,ESS1e06_7,57.0,2002.0
414,ESS1e06_7,87.0,2002.0
415,ESS1e06_7,42.0,2002.0
416,ESS1e06_7,78.0,2002.0
417,ESS1e06_7,59.0,2002.0
418,ESS1e06_7,70.0,2002.0
419,ESS1e06_7,71.0,2002.0
420,ESS1e06_7,83.0,2002.0
